"nge_object_id","field_search_id","sport_name","description","image_url","detect_confidence","predicted_field_type","predicted_sport","predicted_field_type_probability","predicted_sport_type_probability","predicted_large_field_type","predicted_large_sport","large_predicted_field_type_probability","large_predicted_sport_type_probability","detected_sport"
914,9740,"Tennis","box: (x1, y1) = (122,0), (x2, y2) = (150,2), width = 28 height = 28 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66963389808994, -122.34289469527278","https://earth.google.com/web/@47.66963389808994,-122.34289469527278,4.1972381a,15000d","0.89, 0.89, 0.87, 0.88, 0.88, 0.86, 0.85, 0.72, 0.68, 0.52, 0.46","Synthetic","Tennis","0.999759018421173","0.998844981193542","Grass","Soccer","0.919364273548126","0.930327653884888","Tennis, Baseball"
915,9740,"Tennis","box: (x1, y1) = (88,156), (x2, y2) = (112,2), width = 24 height = 60 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66921547955523, -122.34302474434789","https://earth.google.com/web/@47.66921547955523,-122.34302474434789,4.1972381a,15000d","0.89, 0.88, 0.86, 0.87, 0.87, 0.85, 0.85, 0.82, 0.67, 0.65, 0.64, 0.55, 0.45","Synthetic","Tennis","0.999996542930603","0.999998927116394","Grass","Soccer","0.990694761276245","0.875915825366974","Tennis, Baseball"
916,9740,"Soccer","box: (x1, y1) = (264,1), (x2, y2) = (611,2), width = 347 height = 244 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66936873789621, -122.34180734050591","https://earth.google.com/web/@47.66936873789621,-122.34180734050591,4.1972381a,15000d","0.92, 0.90, 0.87, 0.89, 0.87, 0.87, 0.86, 0.85, 0.85, 0.80, 0.79, 0.72","Grass","Soccer","0.974067509174347","0.997241973876953","Grass","Soccer","0.899233520030975","0.990060329437256","Soccer, Tennis, Baseball"
917,9740,"Tennis","box: (x1, y1) = (88,339), (x2, y2) = (113,2), width = 25 height = 61 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.66877029801246, -122.34302474434789","https://earth.google.com/web/@47.66877029801246,-122.34302474434789,4.1972381a,15000d","0.88, 0.88, 0.86, 0.87, 0.87, 0.85, 0.76, 0.73, 0.72, 0.64","Synthetic","Tennis","0.999998092651367","0.999905228614807","Grass","Soccer","0.992693305015564","0.812119722366333","Tennis, Baseball"
918,9740,"Tennis","box: (x1, y1) = (88,246), (x2, y2) = (113,2), width = 25 height = 62 image: width = 640, height = 640 original_ground_resolution = 0.40213880368723703, new ground_resolution = 0.4021388005321269 new_gps_location: 47.6689941056015, -122.34302474434789","https://earth.google.com/web/@47.6689941056015,-122.34302474434789,4.1972381a,15000d","0.90, 0.89, 0.86, 0.88, 0.88, 0.85, 0.84, 0.84, 0.70, 0.58, 0.58, 0.54, 0.47","Synthetic","Tennis","0.99999988079071","0.999776780605316","Grass","Soccer","0.991353213787079","0.860929191112518","Tennis, Baseball"
803,9741,"Tennis","box: (x1, y1) = (464,85), (x2, y2) = (493,2), width = 29 height = 62 image: width = 640, height = 640 original_ground_resolution = 0.4026153495415011, new ground_resolution = 0.4026153463826521 new_gps_location: 47.60750744344928, -122.30069475267956","https://earth.google.com/web/@47.60750744344928,-122.30069475267956,4.1972381a,15000d","0.90, 0.70, 0.54, 0.47","Buildings","Buildings","0.999982476234436","0.908967852592468","Grass","Soccer","0.996805667877197","0.593398571014404","Soccer, Tennis, Baseball"
804,9741,"Baseball","box: (x1, y1) = (182,363), (x2, y2) = (301,2), width = 119 height = 115 image: width = 640, height = 640 original_ground_resolution = 0.4026153495415011, new ground_resolution = 0.4026153463826521 new_gps_location: 47.60676615344399, -122.30155192366026","https://earth.google.com/web/@47.60676615344399,-122.30155192366026,4.1972381a,15000d","0.91, 0.90, 0.72, 0.60","Turf","Baseball","0.75238835811615","0.913389027118683","Buildings","Buildings","0.999939918518066","0.513220191001892","Soccer, Tennis, Baseball"
919,9741,"Tennis","box: (x1, y1) = (464,85), (x2, y2) = (493,2), width = 29 height = 62 image: width = 640, height = 640 original_ground_resolution = 0.4026153495415011, new ground_resolution = 0.4026153463826521 new_gps_location: 47.60750744344928, -122.30069475267956","https://earth.google.com/web/@47.60750744344928,-122.30069475267956,4.1972381a,15000d","0.90, 0.70, 0.54, 0.47","Buildings","Buildings","0.999982476234436","0.908967852592468","Grass","Soccer","0.996805667877197","0.593398571014404","Soccer, Tennis, Baseball"
920,9741,"Baseball","box: (x1, y1) = (182,363), (x2, y2) = (301,2), width = 119 height = 115 image: width = 640, height = 640 original_ground_resolution = 0.4026153495415011, new ground_resolution = 0.4026153463826521 new_gps_location: 47.60676615344399, -122.30155192366026","https://earth.google.com/web/@47.60676615344399,-122.30155192366026,4.1972381a,15000d","0.91, 0.90, 0.72, 0.60","Turf","Baseball","0.75238835811615","0.913389027118683","Buildings","Buildings","0.999939918518066","0.513220191001892","Soccer, Tennis, Baseball"
805,9744,"Tennis","box: (x1, y1) = (489,34), (x2, y2) = (519,2), width = 30 height = 62 image: width = 640, height = 640 original_ground_resolution = 0.4014799535943496, new ground_resolution = 0.4014799504444088 new_gps_location: 47.7549594014832, -122.33809669374061","https://earth.google.com/web/@47.7549594014832,-122.33809669374061,4.1972381a,15000d","0.89, 0.81, 0.81","Synthetic","Basketball","0.993462562561035","0.958309173583984","Synthetic","Basketball","0.884360909461975","0.987215757369995","Tennis, Baseball"
806,9744,"Tennis","box: (x1, y1) = (527,30), (x2, y2) = (557,2), width = 30 height = 64 image: width = 640, height = 640 original_ground_resolution = 0.4014799535943496, new ground_resolution = 0.4014799504444088 new_gps_location: 47.75496667557457, -122.33795964462182","https://earth.google.com/web/@47.75496667557457,-122.33795964462182,4.1972381a,15000d","0.82, 0.82, 0.80","Synthetic","Basketball","0.988016843795776","0.671871423721313","Synthetic","Basketball","0.790059149265289","0.989953100681305","Tennis, Baseball"
921,9744,"Tennis","box: (x1, y1) = (489,34), (x2, y2) = (519,2), width = 30 height = 62 image: width = 640, height = 640 original_ground_resolution = 0.4014799535943496, new ground_resolution = 0.4014799504444088 new_gps_location: 47.7549594014832, -122.33809669374061","https://earth.google.com/web/@47.7549594014832,-122.33809669374061,4.1972381a,15000d","0.89, 0.81, 0.81","Synthetic","Basketball","0.993462562561035","0.958309173583984","Synthetic","Basketball","0.884360909461975","0.987215757369995","Tennis, Baseball"
922,9744,"Tennis","box: (x1, y1) = (527,30), (x2, y2) = (557,2), width = 30 height = 64 image: width = 640, height = 640 original_ground_resolution = 0.4014799535943496, new ground_resolution = 0.4014799504444088 new_gps_location: 47.75496667557457, -122.33795964462182","https://earth.google.com/web/@47.75496667557457,-122.33795964462182,4.1972381a,15000d","0.82, 0.82, 0.80","Synthetic","Basketball","0.988016843795776","0.671871423721313","Synthetic","Basketball","0.790059149265289","0.989953100681305","Tennis, Baseball"
807,9745,"Baseball","box: (x1, y1) = (205,197), (x2, y2) = (289,2), width = 84 height = 82 image: width = 640, height = 640 original_ground_resolution = 0.4025470457012116, new ground_resolution = 0.40254704254289836 new_gps_location: 47.6160828854891, -122.31930797833746","https://earth.google.com/web/@47.6160828854891,-122.31930797833746,4.1972381a,15000d","0.88","Turf","Soccer","1","0.990623891353607","Synthetic","Basketball","0.608800113201141","0.69462788105011","Baseball"
