                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1072,                0.79111,                 1.1881,                0.85227,                   0.92,                0.86851,                0.44737,                 1.6416,                0.96776,                 1.4572,               0.006634,               0.006634,               0.006634
                     70,                 1.1108,                0.90506,                 1.1925,                0.90879,                   0.88,                 0.8921,                0.53714,                 1.4082,                0.97042,                 1.2908,              0.0065845,              0.0065845,              0.0065845
                     71,                0.96581,                0.75712,                 1.1113,                0.85688,                0.95805,                0.88786,                0.45222,                 1.5561,                 1.0231,                 1.4338,               0.006535,               0.006535,               0.006535
                     72,                  1.032,                 0.7946,                 1.1767,                 0.8298,                      1,                  0.876,                0.48999,                 1.5346,                0.91901,                 1.4536,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0391,                0.75216,                 1.1467,                0.85598,                0.95119,                0.90437,                0.54117,                 1.3813,                0.87454,                 1.3514,               0.006436,               0.006436,               0.006436
                     74,                 1.1389,                0.79908,                  1.245,                0.85176,                0.91934,                0.87961,                0.48236,                 1.4678,                0.98264,                 1.3735,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1805,                0.74407,                 1.2194,                0.85673,                0.95689,                0.88595,                0.51234,                 1.5001,                0.88119,                 1.3902,               0.006337,               0.006337,               0.006337
                     76,                 1.0423,                0.75731,                 1.1709,                0.90916,                   0.88,                0.86755,                0.47646,                 1.5307,                 1.0158,                 1.4281,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0648,                0.74857,                 1.1261,                0.82651,                0.95299,                0.88959,                0.54349,                 1.4257,                 0.8923,                 1.3436,               0.006238,               0.006238,               0.006238
                     78,                 1.0128,                 0.7407,                 1.1428,                0.90471,                   0.88,                0.88204,                0.54211,                  1.395,                0.97376,                 1.3602,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0044,                0.74232,                 1.1207,                0.87225,                   0.88,                0.88966,                0.52259,                 1.5014,                0.98444,                 1.4107,               0.006139,               0.006139,               0.006139
                     80,                0.97088,                0.70964,                  1.109,                0.91167,                   0.88,                 0.9241,                0.62026,                  1.286,                  0.867,                 1.2693,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0223,                0.71953,                 1.1394,                0.91635,                0.87647,                0.89633,                0.56994,                 1.3543,                0.86974,                 1.2897,                0.00604,                0.00604,                0.00604
                     82,                 1.0628,                0.72344,                 1.1517,                0.91642,                0.87733,                0.90842,                0.56978,                 1.4537,                0.88239,                 1.3451,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0527,                0.75524,                 1.1395,                0.91607,                   0.96,                0.95404,                0.59953,                 1.4265,                0.84087,                 1.3442,               0.005941,               0.005941,               0.005941
                     84,                 1.0491,                0.71647,                 1.1371,                 0.9599,                0.95754,                0.96303,                0.57448,                 1.4453,                0.79583,                 1.3551,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0399,                0.72232,                 1.1901,                0.95484,                   0.96,                0.97321,                0.59081,                 1.5002,                0.78377,                 1.3873,               0.005842,               0.005842,               0.005842
                     86,                0.99195,                0.72896,                 1.1207,                0.95579,                   0.92,                0.97703,                0.59194,                 1.5276,                0.84635,                 1.4171,              0.0057925,              0.0057925,              0.0057925
                     87,                0.95388,                0.68825,                 1.0774,                0.92234,                   0.96,                0.97298,                0.56234,                 1.5313,                0.81765,                 1.4682,               0.005743,               0.005743,               0.005743
                     88,                0.98575,                0.72363,                 1.1074,                 0.9552,                   0.96,                0.99044,                0.59693,                 1.4809,                0.73203,                 1.3839,              0.0056935,              0.0056935,              0.0056935
                     89,                0.95688,                0.70399,                 1.0926,                0.96319,                   0.96,                0.99204,                0.60116,                   1.46,                0.73137,                 1.4002,               0.005644,               0.005644,               0.005644
                     90,                 1.0414,                0.71636,                 1.1364,                0.92561,                 0.9956,                0.99044,                0.58071,                 1.5107,                0.74035,                 1.4624,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.0119,                0.72476,                 1.1399,                0.92273,                0.95545,                0.96665,                0.52173,                 1.7099,                0.87396,                 1.5657,               0.005545,               0.005545,               0.005545
                     92,                 1.0146,                0.71778,                 1.1389,                0.92285,                0.95704,                0.95051,                0.50844,                 1.6608,                0.81522,                 1.5375,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.0053,                0.72019,                 1.1514,                0.94968,                   0.92,                0.94605,                0.51179,                 1.6514,                0.78397,                 1.5208,               0.005446,               0.005446,               0.005446
                     94,                 1.0084,                0.70959,                 1.1007,                0.92233,                0.95025,                0.94057,                0.55528,                 1.5583,                0.81332,                 1.4808,              0.0053965,              0.0053965,              0.0053965
                     95,                0.95236,                 0.6658,                 1.0881,                0.85265,                   0.96,                0.91833,                0.47023,                 1.7007,                 0.9097,                 1.5861,               0.005347,               0.005347,               0.005347
                     96,                0.95613,                0.65927,                 1.1026,                0.90954,                   0.92,                0.92862,                0.44741,                 1.7836,                0.92866,                 1.6481,              0.0052975,              0.0052975,              0.0052975
                     97,                0.98269,                 0.6611,                 1.1171,                0.91577,                   0.92,                0.88885,                0.43028,                    1.7,                0.89254,                 1.5723,               0.005248,               0.005248,               0.005248
                     98,                0.97667,                0.71978,                 1.1136,                0.85502,                   0.96,                0.88189,                0.41758,                 1.7435,                0.91435,                 1.5982,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0275,                0.72346,                 1.1345,                0.91267,                   0.88,                0.88565,                0.44713,                 1.6295,                0.83992,                 1.5075,               0.005149,               0.005149,               0.005149
                    100,                0.96596,                0.69253,                 1.1239,                0.88758,                0.94774,                0.87547,                0.47499,                 1.5474,                0.88934,                 1.4567,              0.0050995,              0.0050995,              0.0050995
                    101,                0.92494,                0.67673,                 1.1003,                0.91932,                 0.9118,                0.86815,                 0.3962,                 1.7785,                0.91811,                 1.6252,                0.00505,                0.00505,                0.00505
                    102,                0.94542,                 0.6943,                 1.0922,                  0.884,                0.91466,                0.86778,                0.44138,                  1.618,                0.87325,                 1.4839,              0.0050005,              0.0050005,              0.0050005
